"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Marc Overmars","Left Winger",27,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,40000000
"Rio Ferdinand","Centre-Back",22,"West Ham","Premier League","Leeds","Premier League","2000-2001",NA,26000000
"Jimmy Floyd Hasselbaink","Centre-Forward",28,"Atlético Madrid","LaLiga2","Chelsea","Premier League","2000-2001",NA,22500000
"Robbie Keane","Centre-Forward",19,"Coventry City","Premier League","Inter","Serie A","2000-2001",NA,19500000
"Tore André Flo","Centre-Forward",27,"Chelsea","Premier League","Rangers"," Scotland","2000-2001",NA,18000000
"Sergiy Rebrov","Second Striker",26,"Dynamo Kyiv","Premier Liga","Spurs","Premier League","2000-2001",NA,18000000
"Sylvain Wiltord","Second Striker",26,"G. Bordeaux","Ligue 1","Arsenal","Premier League","2000-2001",NA,17500000
"Francis Jeffers","Centre-Forward",20,"Everton","Premier League","Arsenal","Premier League","2000-2001",NA,15300000
"Emmanuel Petit","Defensive Midfield",29,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,15000000
"Juan Pablo Ángel","Centre-Forward",25,"River Plate"," Argentina","Aston Villa","Premier League","2000-2001",NA,14400000
"Ugo Ehiogu","Centre-Back",27,"Aston Villa","Premier League","Middlesbrough","Premier League","2000-2001",NA,12200000
"Jesper Grönkjaer","Left Winger",23,"AFC Ajax","Eredivisie","Chelsea","Premier League","2000-2001",NA,11850000
"Fabien Barthez","Goalkeeper",29,"Monaco","Ligue 1","Man Utd","Premier League","2000-2001",NA,11700000
"Laurén","Right-Back",23,"RCD Mallorca","LaLiga","Arsenal","Premier League","2000-2001",NA,10700000
"Olivier Dacourt","Defensive Midfield",25,"Lens","Ligue 1","Leeds","Premier League","2000-2001",NA,10500000
"Carl Cort","Centre-Forward",22,"MK Dons"," England","Newcastle","Premier League","2000-2001",NA,10500000
"Robert Pirès","Left Midfield",26,"Marseille","Ligue 1","Arsenal","Premier League","2000-2001",NA,9800000
"Chris Sutton","Centre-Forward",27,"Chelsea","Premier League","Celtic"," Scotland","2000-2001",NA,9500000
"Craig Bellamy","Left Winger",21,"Norwich"," England","Coventry City","Premier League","2000-2001",NA,9250000
"Mark Viduka","Centre-Forward",24,"Celtic"," Scotland","Leeds","Premier League","2000-2001",NA,9150000
"Alpay Özalan","Centre-Back",27,"Fenerbahce","Süper Lig","Aston Villa","Premier League","2000-2001",NA,9000000
"Christian Ziege","Left Midfield",28,"Middlesbrough","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Nick Barmby","Left Midfield",26,"Everton","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Marc-Vivien Foé","Central Midfield",25,"West Ham","Premier League","Olympique Lyon","Ligue 1","2000-2001",NA,9000000
"Christian Karembeu","Defensive Midfield",29,"Real Madrid","LaLiga","Middlesbrough","Premier League","2000-2001",NA,8750000
